Beekeepers Exclusive to State,Colonies Exclusive to State,if than for year,Path,Region,State,Year,Year (copy),Beekeepers,Beekeepers Calc,Colonies,Colonies Calc,Colonies per keeper,Total Winter All Loss
91.7%,73%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Connecticut,2011-12,2011-12,60,682,682,682,11.366666667,24%
90.9%,94.2%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,District of Columbia,2011-12,2011-12,11,3062,3062,3062,278.363636364,24%
75%,48.3%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southwest,Arizona,2011-12,2011-12,8,447,447,447,55.875,25%
0%,0%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,MultiStateOperation,MultiStateOperation,2011-12,2011-12,117,211884,211884,211884,1810.974358974,25%
90.6%,31.8%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Florida,2011-12,2011-12,106,35153,35153,35153,331.632075472,25%
95%,4.7%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Maine,2011-12,2011-12,139,20812,20812,20812,149.726618705,26%
98.3%,69.6%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Ohio,2011-12,2011-12,231,4714,4714,4714,20.406926407,27%
97.9%,72%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Maryland,2011-12,2011-12,335,2187,2187,2187,6.528358209,27%
97.9%,82%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,North Carolina,2011-12,2011-12,431,3917,3917,3917,9.088167053,27%
77.8%,4%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,West,Nevada,2011-12,2011-12,18,1660,1660,1660,92.222222222,28%
92.7%,16.5%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New York,2011-12,2011-12,191,14102,14102,14102,73.832460733,29%
97.8%,92.9%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Kentucky,2011-12,2011-12,46,705,705,705,15.326086957,31%
98.4%,98%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Minnesota,2011-12,2011-12,63,757,757,757,12.015873016,31%
88.2%,38.1%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,West Virginia,2011-12,2011-12,51,826,826,826,16.196078431,31%
98.5%,78%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,West,Colorado,2011-12,2011-12,129,1227,1227,1227,9.511627907,32%
91.7%,0.6%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southwest,Texas,2011-12,2011-12,48,78694,78694,78694,1639.458333333,32%
84.6%,0.1%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Mississippi,2011-12,2011-12,13,72290,72290,72290,5560.769230769,34%
100%,100%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southwest,New Mexico,2011-12,2011-12,14,214,214,214,15.285714286,36%
97%,42.8%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Pennsylvania,2011-12,2011-12,703,11357,11357,11357,16.155049787,38%
93.9%,14.5%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Georgia,2011-12,2011-12,148,10446,10446,10446,70.581081081,40%
97.4%,76.7%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Iowa,2011-12,2011-12,39,1525,1525,1525,39.102564103,40%
97.8%,66.9%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Illinois,2011-12,2011-12,93,1085,1085,1085,11.666666667,42%
89.7%,48.8%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Delaware,2011-12,2011-12,29,420,420,420,14.482758621,48%
98.4%,96.5%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Hawaii,Hawaii,2012-13,2012-13,61,12900,12900,12900,211.475409836,11%
92.3%,2.2%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Southwest,Arizona,2012-13,2012-13,13,2069,2069,2069,159.153846154,13%
98.2%,96.2%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Arkansas,2012-13,2012-13,56,1988,1988,1988,35.5,14%
94.6%,8.9%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Southwest,Oklahoma,2012-13,2012-13,37,3389,3389,3389,91.594594595,14%
97.9%,22.8%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Southeast,South Carolina,2012-13,2012-13,97,4097,4097,4097,42.237113402,16%
94%,93.1%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Alabama,2012-13,2012-13,50,2667,2667,2667,53.34,16%
87.9%,3%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Delaware,2012-13,2012-13,33,10010,10010,10010,303.333333333,17%
92%,2.6%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New Jersey,2012-13,2012-13,87,24746,24746,24746,284.436781609,17%
63%,1.7%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,West,Montana,2012-13,2012-13,46,63014,63014,63014,1369.869565217,17%
100%,100%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Louisiana,2012-13,2012-13,22,2264,2264,2264,102.909090909,18%
99.3%,33.1%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Ohio,2012-13,2012-13,281,11989,11989,11989,42.665480427,19%
56.1%,2.6%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,West,Idaho,2012-13,2012-13,41,66660,66660,66660,1625.853658537,21%
96.6%,2.6%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Maine,2012-13,2012-13,177,47851,47851,47851,270.344632768,21%
96.3%,15.5%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Maryland,2012-13,2012-13,271,11840,11840,11840,43.690036900,21%
97.8%,16.6%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Michigan,2012-13,2012-13,313,23519,23519,23519,75.140575080,22%
98%,10.5%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Massachusetts,2012-13,2012-13,245,17896,17896,17896,73.044897959,22%
93.3%,2.1%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,West,Washington,2012-13,2012-13,178,69593,69593,69593,390.971910112,23%
97.8%,33.2%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Virginia,2012-13,2012-13,699,14752,14752,14752,21.104434907,23%
97.1%,72.1%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Missouri,2012-13,2012-13,104,1596,1596,1596,15.346153846,23%
94.6%,26.8%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Wisconsin,2012-13,2012-13,184,20854,20854,20854,113.336956522,23%
97.1%,44.3%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Indiana,2012-13,2012-13,173,4030,4030,4030,23.294797688,25%
82.3%,11.4%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Florida,2012-13,2012-13,136,49702,49702,49702,365.455882353,25%
10.3%,0%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Midwest,North Dakota,2012-13,2012-13,39,220230,220230,220230,5646.923076923,26%
93%,13.7%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New York,2012-13,2012-13,270,46196,46196,46196,171.096296296,27%
93.3%,23.5%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,West,Oregon,2012-13,2012-13,194,37938,37938,37938,195.556701031,27%
93.4%,58.7%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Vermont,2012-13,2012-13,76,4152,4152,4152,54.631578947,27%
98%,28.7%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Illinois,2012-13,2012-13,202,5281,5281,5281,26.143564356,28%
97%,22%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Pennsylvania,2012-13,2012-13,565,25443,25443,25443,45.031858407,28%
67.8%,15.8%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,West,California,2012-13,2012-13,292,490737,490737,490737,1680.606164384,28%
93.7%,39.3%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Iowa,2012-13,2012-13,63,6535,6535,6535,103.730158730,29%
0%,0%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,MultiStateOperation,MultiStateOperation,2012-13,2012-13,197,451785,451785,451785,2293.324873096,29%
86.3%,19%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Kansas,2012-13,2012-13,51,2329,2329,2329,45.666666667,30%
63.6%,0.3%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,West,Nevada,2012-13,2012-13,11,6720,6720,6720,610.909090909,32%
92.6%,89.8%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Southwest,New Mexico,2012-13,2012-13,27,128,128,128,4.740740741,33%
95.5%,92.3%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Kentucky,2012-13,2012-13,67,749,749,749,11.179104478,33%
96.6%,82.6%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Southeast,North Carolina,2012-13,2012-13,415,5181,5181,5181,12.484337349,34%
78.6%,60%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Rhode Island,2012-13,2012-13,28,205,205,205,7.321428571,35%
99%,87.3%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New Hampshire,2012-13,2012-13,96,898,898,898,9.354166667,35%
77.9%,0.9%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Southwest,Texas,2012-13,2012-13,77,80014,80014,80014,1039.142857143,37%
61.9%,1.2%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,West,Wyoming,2012-13,2012-13,21,16355,16355,16355,778.809523810,38%
87.8%,1.8%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Mississippi,2012-13,2012-13,41,89705,89705,89705,2187.926829268,38%
73.9%,0.4%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Nebraska,2012-13,2012-13,23,77173,77173,77173,3355.347826087,38%
86.3%,25.5%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Minnesota,2012-13,2012-13,117,53734,53734,53734,459.264957265,39%
62.5%,3.4%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Midwest,South Dakota,2012-13,2012-13,8,77790,77790,77790,9723.75,39%
90%,5.5%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,West,Utah,2012-13,2012-13,80,12897,12897,12897,161.2125,41%
94.7%,69.2%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Tennessee,2012-13,2012-13,94,1280,1280,1280,13.617021277,43%
88.9%,10.3%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Georgia,2012-13,2012-13,117,9483,9483,9483,81.051282051,43%
94.2%,31%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Southeast,West Virginia,2012-13,2012-13,86,2562,2562,2562,29.790697674,45%
97.8%,88.6%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,West,Colorado,2012-13,2012-13,314,1694,1694,1694,5.394904459,47%
92.3%,71.2%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Connecticut,2012-13,2012-13,78,1009,1009,1009,12.935897436,52%
78.6%,10.3%,2012-2013,data/BIP Bee Colony Loss Clean.xlsx,Northeast,District of Columbia,2012-13,2012-13,14,300,300,300,21.428571429,55%
94.7%,74.5%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Alabama,2013-14,2013-14,38,345,345,345,9.078947368,11%
36.4%,0.1%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,West,Wyoming,2013-14,2013-14,11,20661,20661,20661,1878.272727273,12%
75%,0.4%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,West,Montana,2013-14,2013-14,28,28378,28378,28378,1013.5,13%
98.7%,48.2%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Hawaii,Hawaii,2013-14,2013-14,75,13511,13511,13511,180.146666667,13%
61%,8.4%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,West,Idaho,2013-14,2013-14,41,96469,96469,96469,2352.902439024,13%
95.5%,24.5%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Louisiana,2013-14,2013-14,22,9276,9276,9276,421.636363636,16%
94.6%,7.8%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Arkansas,2013-14,2013-14,74,8676,8676,8676,117.243243243,16%
83.6%,2.6%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,West,Utah,2013-14,2013-14,61,9250,9250,9250,151.639344262,16%
92.8%,10.1%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,West,Oregon,2013-14,2013-14,222,50691,50691,50691,228.337837838,17%
97.8%,1.2%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,West,Colorado,2013-14,2013-14,224,68982,68982,68982,307.955357143,18%
80%,0.1%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Nebraska,2013-14,2013-14,15,79237,79237,79237,5282.466666667,18%
94.5%,2.9%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Southeast,North Carolina,2013-14,2013-14,292,71168,71168,71168,243.726027397,18%
76.8%,1.9%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Southwest,Texas,2013-14,2013-14,82,125685,125685,125685,1532.743902439,19%
52.9%,0%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Midwest,South Dakota,2013-14,2013-14,17,80228,80228,80228,4719.294117647,20%
89.1%,5.9%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Wisconsin,2013-14,2013-14,183,36244,36244,36244,198.054644809,20%
95.1%,81.6%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Tennessee,2013-14,2013-14,102,1066,1066,1066,10.450980392,20%
67.9%,8.9%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,West,California,2013-14,2013-14,293,392531,392531,392531,1339.696245734,21%
81.9%,7.1%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Florida,2013-14,2013-14,166,51693,51693,51693,311.403614458,21%
0%,0%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,MultiStateOperation,MultiStateOperation,2013-14,2013-14,209,386373,386373,386373,1848.674641148,21%
65.2%,0.3%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Mississippi,2013-14,2013-14,23,85643,85643,85643,3723.608695652,21%
90%,2.6%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Minnesota,2013-14,2013-14,140,97604,97604,97604,697.171428571,21%
95.9%,9%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New Jersey,2013-14,2013-14,197,14714,14714,14714,74.690355330,23%
100%,100%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Southwest,New Mexico,2013-14,2013-14,23,116,116,116,5.043478261,24%
3.2%,0%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Midwest,North Dakota,2013-14,2013-14,31,150882,150882,150882,4867.161290323,25%
78.6%,0.7%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Delaware,2013-14,2013-14,28,10160,10160,10160,362.857142857,25%
95.4%,18.2%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Massachusetts,2013-14,2013-14,196,10490,10490,10490,53.520408163,25%
90.1%,1.7%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,West,Washington,2013-14,2013-14,161,74378,74378,74378,461.975155280,26%
87.8%,12.4%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Georgia,2013-14,2013-14,107,12352,12352,12352,115.439252336,26%
93.2%,13.4%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Maryland,2013-14,2013-14,192,11871,11871,11871,61.828125,27%
96.4%,3.6%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Maine,2013-14,2013-14,166,29096,29096,29096,175.277108434,27%
98.2%,35.1%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Virginia,2013-14,2013-14,796,15726,15726,15726,19.756281407,27%
96.1%,57.6%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Southeast,South Carolina,2013-14,2013-14,155,2313,2313,2313,14.922580645,28%
94.3%,18.3%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New York,2013-14,2013-14,211,20607,20607,20607,97.663507109,30%
97%,19.7%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Michigan,2013-14,2013-14,460,24523,24523,24523,53.310869565,31%
97.9%,25.2%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Ohio,2013-14,2013-14,486,13724,13724,13724,28.238683128,32%
98.2%,31%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Pennsylvania,2013-14,2013-14,1081,23126,23126,23126,21.393154487,32%
83.3%,12%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,West,Nevada,2013-14,2013-14,12,625,625,625,52.083333333,32%
70.8%,38%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Rhode Island,2013-14,2013-14,24,205,205,205,8.541666667,33%
96.8%,49%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Indiana,2013-14,2013-14,216,3713,3713,3713,17.189814815,33%
96.9%,83.4%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Missouri,2013-14,2013-14,97,1396,1396,1396,14.391752577,34%
83.3%,98.3%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Southwest,Arizona,2013-14,2013-14,6,362,362,362,60.333333333,35%
96.4%,73%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Kentucky,2013-14,2013-14,112,1500,1500,1500,13.392857143,37%
100%,100%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Alaska,Alaska,2013-14,2013-14,5,21,21,21,4.2,38%
90.9%,68.3%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Connecticut,2013-14,2013-14,77,816,816,816,10.597402597,40%
91.2%,3.7%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Southwest,Oklahoma,2013-14,2013-14,34,6551,6551,6551,192.676470588,40%
92%,67.9%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Southeast,West Virginia,2013-14,2013-14,75,1125,1125,1125,15,42%
96.2%,95.9%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Vermont,2013-14,2013-14,104,1696,1696,1696,16.307692308,42%
95.3%,64.5%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Kansas,2013-14,2013-14,43,575,575,575,13.372093023,44%
96.7%,83.2%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Iowa,2013-14,2013-14,61,1257,1257,1257,20.606557377,50%
96%,62.4%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New Hampshire,2013-14,2013-14,74,529,529,529,7.148648649,53%
96.2%,47.5%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Illinois,2013-14,2013-14,159,2438,2438,2438,15.333333333,61%
62.5%,9.9%,2013-2014,data/BIP Bee Colony Loss Clean.xlsx,Northeast,District of Columbia,2013-14,2013-14,8,192,192,192,24,71%
62.5%,2.5%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,West,Nevada,2014-15,2014-15,8,1147,1147,1147,143.375,5%
97.1%,99.1%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Hawaii,Hawaii,2014-15,2014-15,34,10165,10165,10165,298.970588235,9%
94.9%,33.9%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,West,Oregon,2014-15,2014-15,177,38036,38036,38036,214.892655367,15%
77.4%,0.3%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,West,Idaho,2014-15,2014-15,62,74921,74921,74921,1208.403225806,16%
50%,0%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Midwest,South Dakota,2014-15,2014-15,16,76136,76136,76136,4758.5,16%
97.7%,1.6%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,West,Colorado,2014-15,2014-15,214,63126,63126,63126,294.981308411,17%
97.1%,25.2%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Indiana,2014-15,2014-15,138,3770,3770,3770,27.318840580,17%
80%,0.1%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Nebraska,2014-15,2014-15,15,72610,72610,72610,4840.666666667,17%
66.7%,0.2%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,West,Wyoming,2014-15,2014-15,12,14282,14282,14282,1190.166666667,17%
85.1%,1.3%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,West,Utah,2014-15,2014-15,47,16677,16677,16677,354.829787234,17%
11.8%,0%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Midwest,North Dakota,2014-15,2014-15,34,199777,199777,199777,5875.794117647,18%
85.3%,0.9%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Minnesota,2014-15,2014-15,109,77361,77361,77361,709.733944954,19%
83.3%,5.3%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Mississippi,2014-15,2014-15,12,6123,6123,6123,510.25,20%
63.9%,10.8%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,West,California,2014-15,2014-15,208,320003,320003,320003,1538.475961538,20%
94.2%,80.5%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Arkansas,2014-15,2014-15,103,2072,2072,2072,20.116504854,20%
93%,1%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,West,Washington,2014-15,2014-15,158,107980,107980,107980,683.417721519,20%
87.3%,2.6%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Southwest,Texas,2014-15,2014-15,157,109746,109746,109746,699.019108280,21%
0%,0%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,MultiStateOperation,MultiStateOperation,2014-15,2014-15,164,297803,297803,297803,1815.871951220,21%
96.3%,90.2%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Tennessee,2014-15,2014-15,82,1223,1223,1223,14.914634146,22%
89.9%,27.2%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Southeast,South Carolina,2014-15,2014-15,79,2061,2061,2061,26.088607595,22%
86.4%,40.7%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Georgia,2014-15,2014-15,81,3977,3977,3977,49.098765432,24%
98.2%,90.2%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Michigan,2014-15,2014-15,284,9594,9594,9594,33.781690141,24%
97.4%,96.4%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Missouri,2014-15,2014-15,114,1823,1823,1823,15.991228070,25%
97.7%,85.4%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Kansas,2014-15,2014-15,44,871,871,871,19.795454545,27%
74.2%,5%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,West,Montana,2014-15,2014-15,31,30059,30059,30059,969.645161290,28%
94%,58.7%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Vermont,2014-15,2014-15,67,707,707,707,10.552238806,29%
86.4%,12.6%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Louisiana,2014-15,2014-15,22,3617,3617,3617,164.409090909,33%
97.7%,97.3%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Southeast,North Carolina,2014-15,2014-15,301,2300,2300,2300,7.641196013,34%
96.8%,97.2%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Alabama,2014-15,2014-15,31,354,354,354,11.419354839,35%
95%,13.6%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New York,2014-15,2014-15,182,26818,26818,26818,147.351648352,35%
87.4%,8.3%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Florida,2014-15,2014-15,111,27403,27403,27403,246.873873874,36%
93.2%,65.8%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New Hampshire,2014-15,2014-15,59,651,651,651,11.033898305,36%
98.8%,98.8%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Virginia,2014-15,2014-15,722,5365,5365,5365,7.430747922,36%
94.6%,80.5%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New Jersey,2014-15,2014-15,112,1295,1295,1295,11.5625,37%
90%,5.4%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Southwest,Oklahoma,2014-15,2014-15,40,5880,5880,5880,147,37%
97.1%,74.5%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Kentucky,2014-15,2014-15,70,674,674,674,9.628571429,38%
94.4%,10.4%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Wisconsin,2014-15,2014-15,161,21404,21404,21404,132.944099379,40%
96%,4%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Maine,2014-15,2014-15,126,18910,18910,18910,150.079365079,40%
70%,0.3%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Delaware,2014-15,2014-15,20,18426,18426,18426,921.3,41%
80%,2.3%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Northeast,District of Columbia,2014-15,2014-15,5,265,265,265,53,41%
93.7%,8.6%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Maryland,2014-15,2014-15,158,10577,10577,10577,66.943037975,41%
98.3%,24.5%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Pennsylvania,2014-15,2014-15,860,24766,24766,24766,28.797674419,43%
95.8%,6.5%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Southwest,New Mexico,2014-15,2014-15,24,1926,1926,1926,80.25,43%
97.4%,75.9%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Massachusetts,2014-15,2014-15,195,1477,1477,1477,7.574358974,43%
93.6%,68.7%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Iowa,2014-15,2014-15,47,947,947,947,20.148936170,47%
73.1%,24.4%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Rhode Island,2014-15,2014-15,26,397,397,397,15.269230769,47%
94.4%,59.5%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Connecticut,2014-15,2014-15,71,701,701,701,9.873239437,49%
98%,86.1%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Ohio,2014-15,2014-15,345,3387,3387,3387,9.817391304,50%
97.8%,76%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Illinois,2014-15,2014-15,137,1133,1133,1133,8.270072993,52%
90%,36%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Southwest,Arizona,2014-15,2014-15,10,1032,1032,1032,103.2,53%
87%,46.8%,2014-2015,data/BIP Bee Colony Loss Clean.xlsx,Southeast,West Virginia,2014-15,2014-15,54,829,829,829,15.351851852,56%
98%,99.9%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Hawaii,Hawaii,2015-16,2015-16,51,5350,5350,5350,104.901960784,2%
89.7%,47.7%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Vermont,2015-16,2015-16,58,2242,2242,2242,38.655172414,10%
